number_of_rooms,floor,area,address,date,price
6,14,190.0,проспект Айни,Вчера 09:29,1311000
1,9,60.0,Цум,Вчера 09:26,372000
6,10,193.0,Ориентир Сбоку от здания УБОП,Вчера 09:25,1309505
6,15,196.0,Ориентир Хадамоти давлатии оташнишонии,Вчера 09:23,1352400
5,14,148.0,Ориентир Новый Пайкар,Вчера 09:20,1021200
4,18,131.0,Ориентир Площадь Победы,Вчера 09:17,903900
2,5,47.0,9 км,Вчера 09:17,280000
1,3,31.0,Корвон,Вчера 09:16,195000
4,7,139.0,Ориентир Душанбинское УВД,Вчера 09:14,1023040
2,5,53.0,Аэропорт,Вчера 09:13,459000
3,16,125.0,улица Академиков Раджабовых,Вчера 09:11,862500
4,4,80.0,,Вчера 09:09,593000
3,10,118.0,,Вчера 09:09,735000
1,12,72.0,Аэропорт,Вчера 09:09,410000
2,4,85.0,Ориентир Торгово - Жилой Комплекс Ватан,Вчера 09:09,684250
2,1,65.0,Шохмансур,Вчера 08:54,405000
2,2,38.0,Фирдавси,Вчера 08:48,437000
2,2,78.0,,Вчера 08:36,500000
2,2,35.0,Навобод,Вчера 08:34,205740
3,4,70.0,Шохмансур,Вчера 08:31,400000
2,6,45.0,Сино,Вчера 08:26,167000
2,4,48.0,Фирдавси,Вчера 08:25,290000
2,1,48.0,Фирдавси,Вчера 08:21,201000
2,1,55.0,фирдавси,Вчера 08:20,180000
3,5,68.0,64 мкр,Вчера 08:19,550000
1,7,63.0,92 мкр,Вчера 08:18,373000
1,2,30.0,Фирдавси,Вчера 08:16,155000
2,1,50.0,Фирдавси,Вчера 08:15,240000
2,3,60.0,,Вчера 07:53,320000
1,6,58.0,Сино,Вчера 07:44,320000
3,6,94.0,Сино,Вчера 07:43,570000
3,10,112.0,Сино,Вчера 07:43,555000
1,5,41.0,Сино,Вчера 07:42,309150
2,4,50.0,Гипразем,Вчера 07:41,280000
3,4,67.0,Фирдавси,Вчера 07:40,468000
1,12,44.0,И.Сомони,Вчера 06:43,240000
3,3,132.0,Аэропорт,Вчера 05:57,1200000
2,14,96.0,Кохи Борбад,Вчера 02:10,495000
2,14,96.0,Скорый,Вчера 02:10,520000
2,9,75.0,Молодёжный театр,Вчера 01:47,470000
2,14,77.0,,Вчера 01:37,522000
1,10,67.0,Ожоговая больница,Вчера 01:33,386000
3,12,170.0,91 мкр,Вчера 01:01,1704000
2,8,74.0,84 мкр,Вчера 01:00,660000
2,10,50.0,Центр,Вчера 00:58,660000
1,8,42.0,Молодежный,Вчера 00:51,310000
4,7,110.0,61 мкр,Вчера 00:38,960000
1,10,48.0,Ватан,Вчера 00:37,350000
3,13,86.0,Филармония,Вчера 00:31,595000
4,8,96.0,Политехнический университет,Вчера 00:24,1100000
3,2,64.0,Зарафшон 24,10.02.2022 23:55,550000
1,3,50,,10.02.2022 23:28,190000
1,1,30.0,Дусти,10.02.2022 23:23,308000
2,4,38.0,112мкр,10.02.2022 23:21,350000
2,1,53.0,Гипрозем,10.02.2022 23:17,350000
2,2,48.0,Фирдавси,10.02.2022 23:14,365000
1,3,35.0,фирдавси,10.02.2022 23:13,265000
4,6,135.0,,10.02.2022 23:08,1200000
3,4,116.0,,10.02.2022 23:07,1299000
2,14,55.0,91 мкр,10.02.2022 23:03,305100
5,4,100.0,112мкр,10.02.2022 22:58,700000
3,9,76.0,Гипрозем,10.02.2022 22:57,343000
2,4,90.0,,10.02.2022 22:52,843600
5,3,100.0,Сино,10.02.2022 22:51,866400
6,3,220.0,92,10.02.2022 22:47,1590000
6,3,220.0,92мкр,10.02.2022 22:46,1590000
1,7,38.0,Филармония,10.02.2022 22:45,290000
3,11,86.0,Ашан,10.02.2022 22:40,970000
2,4,52.0,Пайкар,10.02.2022 22:35,310000
4,7,100.0,102мкр,10.02.2022 22:31,581400
2,6,48.0,Сино,10.02.2022 22:18,400000
2,11,80.0,Шохмансур,10.02.2022 22:13,610000
1,9,50,,10.02.2022 22:11,330000
2,9,54.0,Фирдавси,10.02.2022 22:10,380000
3,2,118.0,82 мкр,10.02.2022 22:07,1290000
4,7,94.0,61мкр,10.02.2022 21:51,910000
4,1,90.0,Испечак-2,10.02.2022 21:50,600000
3,7,80.0,91 мкр,10.02.2022 21:47,737000
4,7,96.0,Саховат,10.02.2022 21:39,1017325
3,2,107.0,,10.02.2022 21:35,295000
2,14,49.0,Сино,10.02.2022 21:35,370000
2,2,72.0,Рудаки кучаи мавч радиё станция,10.02.2022 21:34,200000
3,15,77.0,Советский,10.02.2022 21:32,449000
1,8,37.0,46 мкр,10.02.2022 21:29,330000
3,3,60.0,Сино,10.02.2022 21:24,536000
2,14,48.0,пушти ГАИ балх,10.02.2022 21:21,300000
2,2,48.0,Фирдавси,10.02.2022 21:13,220000
2,11,52.0,Сзади Гранд Отеля,10.02.2022 21:06,741000
2,3,78.0,Исмоили Сомони,10.02.2022 21:01,620000
1,4,49.0,Мирзо Турсунзода,10.02.2022 20:56,430000
2,1,44.0,,10.02.2022 20:54,470000
3,9,100.0,Сино,10.02.2022 20:52,600000
3,3,74.0,Шохмансур,10.02.2022 20:35,795000
2,5,78.0,102 мкр,10.02.2022 20:32,500000
4,4,68.0,Фирдауси,10.02.2022 20:30,500000
3,0,65.0,Шохмансур,10.02.2022 20:28,342000
1,11,52.0,И. Сомони,10.02.2022 20:27,545000
3,8,110.0,Сомони,10.02.2022 20:26,1068500
2,8,56.0,Сино гипрозем Навбахар 2,10.02.2022 20:00,330000
1,8,50,,10.02.2022 20:00,310005
5,2,145.0,91 мкр,10.02.2022 20:00,1350005
3,1,66.0,102 мкр,10.02.2022 20:00,445805
3,4,80.0,91 мкр,10.02.2022 19:59,545705
2,4,72.0,Гипрозем,10.02.2022 19:59,386505
2,6,47.0,Гипрозем,10.02.2022 19:59,320000
2,6,70.0,112 мкр,10.02.2022 19:59,510005
4,4,80.0,Испечак 2,10.02.2022 19:58,515000
2,4,60.0,91 мкр,10.02.2022 19:58,400005
2,4,60.0,92 мкр,10.02.2022 19:58,432000
4,4,110.0,Зарафшон,10.02.2022 19:57,625005
4,2,86.0,82 мкр,10.02.2022 19:57,704905
1,1,80.0,112 мкр,10.02.2022 19:56,573000
2,7,66.0,И Сомони,10.02.2022 19:54,420000
2,6,75.0,46 мкр,10.02.2022 19:51,460000
4,2,67.0,102 мкр,10.02.2022 19:48,620000
2,6,48.0,102 мкр,10.02.2022 19:44,380000
2,1,38.0,,10.02.2022 19:39,290000
2,4,52.0,,10.02.2022 19:34,377500
1,3,40.0,Филармония,10.02.2022 19:30,388000
1,1,26.0,,10.02.2022 19:28,238000
3,2,112.0,Посольства Казахстанa,10.02.2022 19:27,930000
1,2,38.0,65мкр,10.02.2022 19:24,296000
3,4,60.0,майковски,10.02.2022 19:24,365000
3,3,106.0,улица Карамова,10.02.2022 19:20,460000
2,12,75.0,шохмансур,10.02.2022 19:19,439000
2,3,58.0,92 мкр,10.02.2022 19:14,445000
3,1,79.0,91мкр,10.02.2022 19:01,599000
3,10,110.0,Аэропорт,10.02.2022 18:57,530000
1,3,28.0,Рахмон Набиев,10.02.2022 18:54,320000
2,9,54.0,Сино 1,10.02.2022 18:37,290000
2,10,115.0,Шохмансур,10.02.2022 18:35,667000
1,6,51.0,Фирдавси,10.02.2022 18:31,203000
4,5,123.0,Караболо,10.02.2022 18:29,994000
3,11,95.0,Фирдавси,10.02.2022 18:28,706000
3,16,82.0,Зарафшон 2,10.02.2022 18:28,510000
2,0,52.0,Зарафшон 2,10.02.2022 18:12,250000
4,6,162.0,И Сомони,10.02.2022 18:10,1250000
2,3,78.0,92 мкр,10.02.2022 18:04,490000
3,13,135.0,Центр,10.02.2022 18:00,950000
1,14,56.0,Молодежный театр,10.02.2022 17:51,265000
3,3,50,,10.02.2022 17:49,510000
1,6,46.0,район Сино,10.02.2022 17:45,415200
2,8,80.0,112мкр,10.02.2022 17:40,580000
1,4,47.0,Сино,10.02.2022 17:37,241110
2,11,75.0,Дом Печати,10.02.2022 17:37,500000
1,13,42.0,Цирк,10.02.2022 17:35,400000
1,11,41.0,Гипрозем,10.02.2022 17:35,163590
1,13,37.0,Гипрозем,10.02.2022 17:34,147630
1,8,47.0,Гипрозем,10.02.2022 17:33,214320
1,13,44.0,Гипрозем,10.02.2022 17:32,175560
1,4,49.0,Гипрозем,10.02.2022 17:32,251370
1,6,36.0,Гипрозем,10.02.2022 17:31,164160
1,2,36.0,Гипрозем,10.02.2022 17:30,184680
1,7,44.0,Гипрозем,10.02.2022 17:30,200640
1,8,36.0,Гипрозем,10.02.2022 17:29,164160
1,10,47.0,Гипрозем,10.02.2022 17:28,214320
2,11,96.0,83 мкр,10.02.2022 17:26,496800
1,1,54.0,Зарафшон,10.02.2022 17:26,300000
1,9,41.0,Гипрозем,10.02.2022 17:25,186960
2,3,49.0,Сино,10.02.2022 17:21,456000
3,5,72.0,Сино,10.02.2022 17:13,575000
2,2,45.0,Фирдавси,10.02.2022 17:12,2015000
2,17,72.0,Ориентир Торгово - Жилой Комплекс Ватан,10.02.2022 17:08,496800
1,18,50.0,ориентир бывший Бизнес Центр SAS,10.02.2022 17:07,345000
3,3,73.0,33 мкр,10.02.2022 17:06,680000
6,10,147.0,Ориентир Ватан,10.02.2022 17:05,997395
4,6,123.0,Ориентир Бизнес Центр SAS,10.02.2022 17:03,926559
2,3,135.0,Ориентир Бизнес Центр SAS,10.02.2022 17:02,1086750
1,12,60.0,Ориентир Бизнес Центр SAS,10.02.2022 16:59,400200
3,8,110.0,Центр,10.02.2022 16:59,740000
5,15,147.0,Ориентир Бизнес Центр SAS,10.02.2022 16:58,879060
2,8,84.0,Садбарг,10.02.2022 16:56,968000
3,9,123.0,Ориентир Бизнес Центр SAS,10.02.2022 16:56,926498
4,7,139.0,Ориентир Ватан,10.02.2022 16:55,1023040
1,3,45.0,104мкр,10.02.2022 16:54,285000
5,17,179.0,Ориентир Налоговая Шохмансура,10.02.2022 16:52,1008665
1,13,53.0,Ориентир Ватан,10.02.2022 16:50,344138
3,5,137.0,Ориентир Налоговый Шохмансур,10.02.2022 16:48,1055585
2,7,50,,10.02.2022 16:48,500000
3,3,125.0,Сино 2,10.02.2022 16:46,1085000
1,11,67.0,Ориентир Налоговая Шохмансура,10.02.2022 16:46,458850
2,6,75.0,Фирдавси,10.02.2022 16:45,460000
2,4,91.0,Ориентир Ватан,10.02.2022 16:45,717899
1,3,39.0,Фирдавси,10.02.2022 16:44,220000
1,14,61.0,Ориентир Налоговая Шохмансура,10.02.2022 16:43,382663
3,8,95.0,Ориентир Налоговая Шохмансура,10.02.2022 16:41,682813
2,4,38.0,И. Сомони,10.02.2022 16:40,400000
1,16,47.0,Ориентир Напротив Ватана,10.02.2022 16:37,283952
6,15,197.0,Ориентир Наппротив Минтранса,10.02.2022 16:35,1359300
1,11,59.0,,10.02.2022 16:35,540000
2,4,78.0,92 мкр,10.02.2022 16:34,695000
2,3,48.0,82 мкр,10.02.2022 16:32,440000
6,15,188.0,Ориентир Управление Противопожарной Службы,10.02.2022 16:31,1297200
3,3,94.0,Сомони,10.02.2022 16:25,850000
3,7,90.0,,10.02.2022 16:24,650000
6,16,194.0,Ориентир Душанбинский Экономический Суд,10.02.2022 16:24,1338600
2,8,60.0,83 микр,10.02.2022 16:21,307800
2,11,60.0,,10.02.2022 16:21,775000
2,1,60.0,Шохмансур,10.02.2022 16:20,650000
5,13,119.0,Ориентир Хадамоти давлатии оташнишони,10.02.2022 16:20,766360
5,15,143.0,Минтранса,10.02.2022 16:17,986700
4,14,129.0,Ориентир Новый Пайкар,10.02.2022 16:15,890100
3,17,123.0,Ориентир Клиника Мадад,10.02.2022 16:11,848700
3,10,86.0,Ориентир новое турецкое кафе,10.02.2022 16:09,583510
2,9,65.0,Центр,10.02.2022 16:08,692000
2,18,70.0,Ориентир бывший Бизнес Центр SAS,10.02.2022 16:07,483000
3,13,109.0,Фирдавси,10.02.2022 16:03,520000
2,18,71.0,Ориентир бывший Бизнес Центр SAS,10.02.2022 16:02,489900
1,3,60.0,83 мкр,10.02.2022 16:01,342000
1,14,79.0,Ориентир Таджик Текстиль,10.02.2022 16:00,545100
2,1,59.0,Ленинский Район,10.02.2022 15:58,370000
3,11,110.0,н. И.Сомони Водонасос,10.02.2022 15:58,1243000
1,7,53.0,Ориентир Напротив Минтранса,10.02.2022 15:58,390080
1,1,47.0,83 мкр,10.02.2022 15:57,267900
5,16,163.0,Ориентир Напротив Ватана,10.02.2022 15:57,955995
4,15,147.0,Ориентир Бизнес Центр SAS,10.02.2022 15:52,879060
4,17,149.0,Ориентир Налог Шохмансур,10.02.2022 15:49,839615
2,16,58.0,83 мкр,10.02.2022 15:48,264480
6,11,163.0,Ориентир Налоговая Шохмансура,10.02.2022 15:48,1087210
5,4,50,,10.02.2022 15:45,1540000
2,8,95.0,Ориентир Налоговая Шохмансура,10.02.2022 15:45,688275
4,4,101.0,Ориентир Напротив Ватана,10.02.2022 15:44,795628
3,1,56.0,Сино,10.02.2022 15:44,450000
2,3,48.0,Поёни Корвон,10.02.2022 15:43,250000
5,14,161.0,ориентир Налоговая Шохмансура,10.02.2022 15:42,990553
3,1,75.0,101,10.02.2022 15:42,512000
1,9,52.0,Гипрозем,10.02.2022 15:40,239400
5,13,175.0,ориентир напротив Ватана,10.02.2022 15:39,1106875
3,1,90.0,101 мкр,10.02.2022 15:39,500000
2,5,52.0,Гипрозем,10.02.2022 15:39,269325
1,11,33.0,Сино,10.02.2022 15:38,131670
2,11,71.0,Гипрозем,10.02.2022 15:38,280800
1,3,37.0,Гипрозем,10.02.2022 15:37,188977
1,3,49.0,Гипрозем,10.02.2022 15:36,251000
2,2,65.0,,10.02.2022 15:36,655000
1,11,37.0,Гипрозем,10.02.2022 15:36,146335
2,5,107.0,Ориентир Налоговая Шохмансура,10.02.2022 15:35,826896
2,8,64.0,Фирдавси,10.02.2022 15:34,344000
3,1,90.0,101 мкр,10.02.2022 15:34,500000
1,5,36.0,Гипрозем,10.02.2022 15:34,184000
1,5,41.0,Гипрозем,10.02.2022 15:33,209400
4,6,103.0,Ориентир Бизнес Центр SAS,10.02.2022 15:32,775848
6,12,149.0,Ориентир Бизнес Центр SAS,10.02.2022 15:30,968128
2,9,81.0,Ориентир Бизнес Центр SAS,10.02.2022 15:27,577530
1,1,50,,10.02.2022 15:26,290000
1,1,27.0,92 мкр,10.02.2022 15:23,310000
1,1,30.0,82 мкр,10.02.2022 15:22,350000
4,3,115.0,Ориентир Бизнес Центр SAS,10.02.2022 15:22,925750
1,10,59.0,Ориентир Напротив Ватан,10.02.2022 15:21,409705
3,5,80.0,,10.02.2022 15:21,558000
2,1,107.0,Сино,10.02.2022 15:20,450000
6,0,195.0,Ориентир кафе сорбон,10.02.2022 15:19,1345500
3,4,63.0,102мкр,10.02.2022 15:18,467400
6,16,186.0,Ориентир Суди Иктисодии Душанбе,10.02.2022 15:15,1283400
6,10,159.0,Ориентир Сбоку от здания УБОП,10.02.2022 15:10,1078815
3,8,110.0,И Сомони,10.02.2022 15:08,2165888
6,17,192.0,Ориентир Раёсати Корхои Дохилии Шахр,10.02.2022 15:04,1324800
2,11,75.0,сино,10.02.2022 14:54,360000
2,1,63.0,112 мкр,10.02.2022 14:53,452000
5,16,138.0,Ориентир Кафе Сорбон,10.02.2022 14:51,952200
2,4,44.0,,10.02.2022 14:50,370000
2,11,75.0,,10.02.2022 14:50,501600
4,4,160.0,ЖД-Вокзал,10.02.2022 14:49,1820000
4,7,95.0,Зарафшон,10.02.2022 14:43,420000
1,3,43.0,И Сомони,10.02.2022 14:33,280000
3,5,95.0,Фирдавси,10.02.2022 14:31,780000
4,7,117.0,ориентир Душанбинское УВД,10.02.2022 14:25,861120
4,7,117.0,Ориентир Душанбинское УВД,10.02.2022 14:19,861120
2,6,58.0,,10.02.2022 14:15,510000
3,18,121.0,Ориентир Хукумат Шохмансур,10.02.2022 14:15,834900
2,15,56.0,Лесная сказка,10.02.2022 13:56,420000
2,14,100.0,ориентир ТаджикТекстильМаш,10.02.2022 13:56,690000
2,4,75.0,Ориентир Торгово-Жилой Комплекс Ватан,10.02.2022 13:53,603750
1,15,78.0,Ориентир Хадамоти давлатии оташнишони,10.02.2022 13:48,538200
2,15,51.0,91 мкр,10.02.2022 13:36,420000
1,12,53.0,Казинои Саидшох,10.02.2022 13:36,242000
1,10,41.0,Казинои Саидшох,10.02.2022 13:36,196000
2,8,98.0,Зеленый Бозор,10.02.2022 13:36,402000
3,4,70.0,91мкр,10.02.2022 13:35,547000
3,1,70.0,Испечак,10.02.2022 13:35,460000
2,8,46.0,Аэропорт,10.02.2022 13:34,435000
2,3,60.0,92 мкр,10.02.2022 13:34,445000
3,5,50,,10.02.2022 13:33,455000
2,5,70.0,Аэропорт,10.02.2022 13:33,565000
1,12,67.0,Шохмансур,10.02.2022 13:33,380000
3,5,80.0,Испечак,10.02.2022 13:33,525000
1,4,50,,10.02.2022 13:33,435000
3,2,90.0,Кайроккум,10.02.2022 13:32,854000
3,2,70.0,101 мкр,10.02.2022 13:32,646000
2,2,44.0,Фирдавси,10.02.2022 13:28,350000
3,1,61.0,Фирдавси,10.02.2022 13:28,520000
3,1,66.0,Поворот Ленинград,10.02.2022 13:24,318000
4,2,80.0,Садбарг,10.02.2022 13:22,670000
3,5,56.0,Шохмансур,10.02.2022 13:20,380000
2,10,67.0,Фирдавси,10.02.2022 13:19,450000
2,14,88.0,Дом Печати,10.02.2022 13:19,628500
2,4,60.0,Колхози Россия,10.02.2022 13:16,300000
2,11,72.0,Садбарг,10.02.2022 13:16,799999
4,16,131.0,,10.02.2022 13:10,679000
2,4,58.0,Зарафшон,10.02.2022 13:03,430000
3,4,50,,10.02.2022 13:02,1000000
1,4,32.0,фирдавси корвон гравзавод,10.02.2022 13:01,170000
1,1,27.0,65 мкр,10.02.2022 12:58,230000
1,8,44.0,,10.02.2022 12:57,315000
3,11,118.0,82 мир,10.02.2022 12:55,550000
3,17,140.0,ДомПечать напротив Таможенного Комитета,10.02.2022 12:54,568000
4,4,75.0,Шарора,10.02.2022 12:45,270000
1,17,44.0,Зарнисор,10.02.2022 12:42,125000
1,3,44.0,Шохмансур,10.02.2022 12:35,170000
1,3,40.0,,10.02.2022 12:29,165000
2,1,48.0,,10.02.2022 12:29,255000
3,15,106.0,Поворот аэропорта,10.02.2022 12:29,1099000
3,8,87.0,Шоҳмансур,10.02.2022 12:26,767000
2,0,51.0,112 мкр,10.02.2022 12:25,280000
2,4,81.0,Шохмансур,10.02.2022 12:19,507870
3,3,105.0,Шохмансур,10.02.2022 12:19,595875
2,10,86.0,ул.Турсунзода,10.02.2022 12:10,1140000
1,7,56.0,Зарнисор,10.02.2022 12:08,211000
2,5,60.0,Испечак-2,10.02.2022 12:07,456000
3,12,80.0,92мкр,10.02.2022 12:07,695400
4,2,70.0,112мкр,10.02.2022 12:07,882000
3,1,53.0,Испечак-2,10.02.2022 12:06,456000
3,8,108.0,Дом печать,10.02.2022 12:06,677000
2,6,58.0,Гипрозем,10.02.2022 12:05,350000
2,14,63.0,112 мкр,10.02.2022 12:05,328500
3,1,124.0,Шохмансур 9 км,10.02.2022 12:04,782000
1,12,34.0,Садбарг,10.02.2022 12:01,330000
1,11,50.0,Фирдавси,10.02.2022 11:54,245099
2,3,49.0,Фирдавси,10.02.2022 11:46,215000
1,2,28.0,Рынок Корвон,10.02.2022 11:44,169900
3,1,50,,10.02.2022 11:42,201999
3,4,68.0,Фирдавси,10.02.2022 11:42,559000
3,9,56.0,Сино,10.02.2022 11:42,400000
3,8,102.0,Фирдавси,10.02.2022 11:41,387000
2,16,78.0,Шохмансур,10.02.2022 11:40,390000
2,5,70.0,82 мкр,10.02.2022 11:39,740000
2,8,50,,10.02.2022 11:39,397250
1,3,42.0,101 мкр,10.02.2022 11:39,330000
2,7,67.0,Испечак 2,10.02.2022 11:38,547000
5,3,90.0,102мкр,10.02.2022 11:38,590000
2,1,58.0,Поворот Аэропорт,10.02.2022 11:38,445000
3,1,70.0,92 мкр,10.02.2022 11:38,615000
1,13,33.0,Сино,10.02.2022 11:36,131700
1,12,49.0,Сино,10.02.2022 11:36,195500
2,4,58.0,92мкр,10.02.2022 11:35,480000
1,7,65.0,Китай базар,10.02.2022 11:35,270000
2,12,56.0,Сино,10.02.2022 11:33,239400
2,3,56.0,Сино,10.02.2022 11:32,287280
2,3,49.0,Сино,10.02.2022 11:31,251370
4,3,130.0,91 мкр,10.02.2022 11:30,1596000
3,5,107.0,,10.02.2022 11:30,690000
1,4,44.0,Сино,10.02.2022 11:29,225720
3,8,80.0,101 мкр,10.02.2022 11:28,500000
1,5,47.0,Сино,10.02.2022 11:28,241110
1,5,44.0,Сино,10.02.2022 11:26,225720
2,11,56.0,Сино,10.02.2022 11:25,223440
1,12,44.0,Сино,10.02.2022 11:25,175550
1,12,47.0,Сино,10.02.2022 11:23,187500
1,12,48.0,Ориентир бывший ГАИ Душанбе,10.02.2022 11:21,357120
2,2,71.0,Сино,10.02.2022 11:21,364230
4,5,80.0,Зарафшон,10.02.2022 11:20,459999
1,11,48.0,Сино,10.02.2022 11:20,191520
3,15,88.0,Фирдавси,10.02.2022 11:20,520000
1,7,44.0,Сино,10.02.2022 11:19,200600
2,11,52.0,Шохмансур,10.02.2022 11:19,266000
1,11,43.0,Сино,10.02.2022 11:19,171600
2,9,75.0,Молодёжный,10.02.2022 11:17,326000
1,8,47.0,Чал Чам,10.02.2022 11:17,197000
1,9,53.0,Молодёжный театр,10.02.2022 11:17,235000
1,7,49.0,Сино,10.02.2022 11:17,223450
3,13,76.0,,10.02.2022 11:16,738000
1,11,33.0,Сино,10.02.2022 11:16,131700
1,5,53.0,Зарнисор,10.02.2022 11:16,250000
2,9,44.0,Сино,10.02.2022 11:15,250000
1,9,33.0,Сино,10.02.2022 11:13,150500
1,3,32.0,,10.02.2022 11:13,445000
3,10,106.0,Садбарг,10.02.2022 11:11,599000
4,14,140.0,Спартак,10.02.2022 11:08,798000
3,13,94.0,Филармония,10.02.2022 11:07,589000
3,2,60.0,Гипрозем,10.02.2022 11:06,315000
3,13,63.0,112 мкр,10.02.2022 11:04,480000
2,10,85.0,,10.02.2022 10:58,530000
2,12,73.0,Сино,10.02.2022 10:57,330000
2,1,50,,10.02.2022 10:57,441480
3,4,80.0,Рудаки,10.02.2022 10:55,322000
1,10,36.0,Сино,10.02.2022 10:55,164160
1,11,41.0,Сино,10.02.2022 10:54,163600
1,2,47.0,Сино,10.02.2022 10:54,241110
5,8,85.0,аэрапорт,10.02.2022 10:53,600000
1,2,44.0,Сино,10.02.2022 10:53,225700
1,2,36.0,Сино,10.02.2022 10:53,184700
2,11,56.0,82-Саодат,10.02.2022 10:53,499000
1,4,45.0,Сино,10.02.2022 10:52,230800
1,10,63.0,Сомони,10.02.2022 10:46,425000
2,6,67.0,сомони,10.02.2022 10:46,670000
4,9,110.0,Сомони,10.02.2022 10:46,757000
4,4,145.0,Сомони,10.02.2022 10:46,1425000
2,10,66.0,Сино,10.02.2022 10:46,580000
3,10,104.0,Центр,10.02.2022 10:46,680000
1,7,51.0,Cино,10.02.2022 10:45,350000
3,10,142.0,Сомони,10.02.2022 10:45,1595000
3,2,75.0,Сомони,10.02.2022 10:45,855000
2,11,62.0,Сино,10.02.2022 10:45,508000
1,4,52.0,И.Сомони,10.02.2022 10:45,435000
3,4,120.0,Сомони,10.02.2022 10:45,1130000
2,5,54.0,Шохмансур,10.02.2022 10:45,385000
3,17,118.0,Шохмансур,10.02.2022 10:41,620000
1,4,63.0,Сомони,10.02.2022 10:41,470000
3,10,132.0,Сомони,10.02.2022 10:40,995000
3,17,118.0,Шохмансур,10.02.2022 10:40,630000
3,15,120.0,Сино,10.02.2022 10:39,1130000
5,6,186.0,Караболо,10.02.2022 10:39,1980000
4,1,80.0,92мкр,10.02.2022 10:39,735000
3,5,115.0,,10.02.2022 10:38,970000
2,1,50.0,92 мкр,10.02.2022 10:38,475000
6,4,330.0,Садбарг,10.02.2022 10:37,3000000
4,3,80.0,104 мкр,10.02.2022 10:37,525000
5,6,130.0,101 мкр,10.02.2022 10:37,1480000
4,7,80.0,102 мкр,10.02.2022 10:37,605000
2,2,50.0,,10.02.2022 10:37,465000
2,5,71.0,,10.02.2022 10:34,718000
3,5,126.0,,10.02.2022 10:33,850000
3,10,106.0,,10.02.2022 10:29,661000
5,11,147.0,Гранд Отель,10.02.2022 10:29,1130000
2,4,91.0,И.Сомони,10.02.2022 10:29,627000
3,5,121.0,Ашан,10.02.2022 10:28,900000
1,2,42.0,Хитой бозор,10.02.2022 10:28,220000
2,9,86.0,Сомони,10.02.2022 10:28,910000
2,1,50,,10.02.2022 10:26,260000
2,4,47.0,Сино -2,10.02.2022 10:18,480000
4,8,110.0,,10.02.2022 10:16,878000
2,11,76.0,Шохмансур,10.02.2022 10:09,640000
4,7,100.0,102 мкр,10.02.2022 10:06,622000
3,16,104.0,,10.02.2022 09:48,503000
2,16,78.0,,10.02.2022 09:48,373500
3,16,112.0,,10.02.2022 09:48,537000
3,16,105.0,,10.02.2022 09:48,503000
3,16,112.0,,10.02.2022 09:47,537000
3,2,107.0,Сино,10.02.2022 09:46,670000
1,7,47.0,Садбарг,10.02.2022 09:25,430000
2,3,50,,10.02.2022 09:24,225000
3,1,80.0,Сино,10.02.2022 09:24,470000
3,4,54.0,,10.02.2022 09:23,440000
2,3,44.0,46 мкр,10.02.2022 09:13,369000
3,2,63.0,Сино-2,10.02.2022 09:08,600000
1,1,35.0,9 Км,10.02.2022 09:07,250000
3,4,67.0,84 мкр,10.02.2022 09:05,540000
3,11,146.0,,10.02.2022 08:59,1580000
3,13,78.0,Гранд отель,10.02.2022 08:58,670000
3,7,117.0,И.Сомони,10.02.2022 08:54,810000
2,6,71.0,Проспект Рудаки,10.02.2022 08:50,685000
3,9,125.0,Домпечать,10.02.2022 08:50,1248000
2,11,80.0,,10.02.2022 08:47,452000
2,13,57.0,,10.02.2022 08:45,660000
2,2,48.0,112 мкр,10.02.2022 08:43,370000
2,6,80.0,Шохмансур,10.02.2022 08:42,570000
2,1,56.0,,10.02.2022 08:28,420000
2,1,42.0,ул. Маяковского,10.02.2022 08:15,370000
3,2,58.0,Бустон,10.02.2022 08:14,350000
1,2,46.0,Гипрозем,10.02.2022 08:11,315000
3,3,58.0,Фирдавси,10.02.2022 08:09,250000
3,13,87.0,82мкр,10.02.2022 08:08,439000
2,4,47.0,Сино,10.02.2022 08:06,414000
2,2,45.0,Фирдавсӣ,10.02.2022 08:01,195000
3,8,122.0,Спартак,10.02.2022 07:06,715000
1,8,54.0,Исмоили Сомони Стадион Спартак,10.02.2022 07:06,314000
2,8,107.0,И.Сомони Стадион Спартак,10.02.2022 07:05,609000
1,15,53.0,112 мкр,10.02.2022 07:04,255000
3,3,82.0,Воданасос,10.02.2022 05:58,735000
3,6,60.0,Сино,10.02.2022 05:47,400000
2,10,93.0,Шохмансур,10.02.2022 05:47,550000
1,10,55.0,,10.02.2022 05:35,499000
3,2,110.0,Айни 64Г,10.02.2022 05:35,1345000
3,12,107.0,Фирдавси,10.02.2022 02:04,559999
1,2,33.0,Исмоили Сомони,10.02.2022 01:07,290000
2,16,50,,10.02.2022 00:57,290000
4,1,70.0,91 мкр,10.02.2022 00:29,570000
3,4,50,,10.02.2022 00:26,787000
2,16,60.0,Зарнисор,10.02.2022 00:12,160000
1,10,38.0,103мкр,10.02.2022 00:11,410500
1,18,80.0,Ориентир театр оперы и балета,09.02.2022 23:39,430000
2,2,50,,09.02.2022 23:35,440000
1,8,50.0,Шохмансур,09.02.2022 23:28,220000
1,11,50.0,Славянский университет,09.02.2022 23:15,360000
2,5,83.0,,09.02.2022 23:12,587000
